TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr3A2-3A2	fly chr3A2-3A2	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	31226,31224,318215	CG12496,PsGEF,CG32797
fly chr89B20-89B20	fly chr89B20-89B20	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	42013,7354466,42014	CG14891,CG42342,CG14903
fly chr96F9-96F9|3-89.1	fly chr96F9-96F9|3-89.1	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	43151,43152,43150	E(spl)mgamma-HLH,E(spl)mbeta-HLH,E(spl)mdelta-HLH
fly chr7F4-7F4	fly chr7F4-7F4	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	31794,31793,31795	CG12112,IntS4,Trf4-1
fly chr96F9-96F9|3-89.1 cM	fly chr96F9-96F9|3-89.1 cM	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	43150,43151,43152	E(spl)mdelta-HLH,E(spl)mgamma-HLH,E(spl)mbeta-HLH
fly chr84E13-84E13	fly chr84E13-84E13	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	40961,40959,40960	Gie,CG7878,CG9667
fly chr87E10-87E10	fly chr87E10-87E10	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	41652,41651,41653	yellow-e2,yellow-e3,yellow-e
fly chr21B7-21B8	fly chr21B7-21B8	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	33195,33193,33201	CG17078,CG11555,U2af38
fly chr100D2-100D2	fly chr100D2-100D2	0.0454981991487516	-3.09008253295682	24	13	0.00222831676379842	5834	16508	43751,43745,43741,43736,43746,43747,43748,43756,12798060,43740,43749,43750,43757	Acf,CG2150,CG1910,Ef1alpha100E,betaGlu,sip3,CG2126,CG11576,mir-1014,nero,faf,CG2118,FeCH
fly chr31E1-31E1	fly chr31E1-31E1	0.0527130993586404	-2.94289128964182	11	7	0.00119986287281454	5834	16508	34423,34419,34416,34429,3772012,34428,34422	RfC3,Ip259,Cnot4,Bug22,CG17768,CG5188,Klp31E
fly chr33F3-33F3	fly chr33F3-33F3	0.0527130993586404	-2.94289128964182	11	7	0.00119986287281454	5834	16508	34681,34682,34684,34677,34674,34676,34680	spict,CG15484,CG5787,PICK1,CG5525,CG5780,CG5776
fly chr23C4-23C4	fly chr23C4-23C4	0.0527130993586404	-2.94289128964182	11	7	0.00119986287281454	5834	16508	33503,48421,33509,33504,44441,33513,33514	CG3165,CG3558,CG17265,CG9643,Bem46,CG3542,CG3605
fly chr48C5-48C5	fly chr48C5-48C5	0.0527130993586404	-2.94289128964182	11	7	0.00119986287281454	5834	16508	36272,3772621,36268,36270,36271,36264,36273	MCPH1,snoRNA:Me28S-A1322,CG13185,ERp60,Ef1alpha48D,Mtor,Zip48C
fly chr31F1-31F1	fly chr31F1-31F1	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	34440,34443,34442,34441	RluA-2,CG6144,CG7456,Grip75
fly chr18D13-18D13	fly chr18D13-18D13	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	32973,32971,32972,19835317	Ssu72,CG14215,CG14223,CR44512
fly chr2B14-2B14	fly chr2B14-2B14	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	31146,31147,31148,31150	CG14805,CG14818,CG14806,mRpL16
fly chr4A1-4A1	fly chr4A1-4A1	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	31351,31352,31350,19835164	CG6428,CG6414,lva,CR45481
fly chr13E8-13E8	fly chr13E8-13E8	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	32507,32508,32505,32509	CG8134,CG9281,CG9240,CG15601
fly chr14A5-14A5	fly chr14A5-14A5	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	32568,32567,32564,32566	CG8939,exd,CG8931,eIF5
fly chr84F6-84F6	fly chr84F6-84F6	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	40973,40972,40974,40975	Mcm2,RpA-70,CG9630,ato
fly chr72A1-72A1	fly chr72A1-72A1	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	39722,39721,39720,2768962	DCP2,CkIIalpha-i1,fwe,CG6244
fly chr6F5-6F5	fly chr6F5-6F5	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	31659,31658,31656,31657	fz4,CG8300,CG4615,CG4617
fly chr66D9-66D9	fly chr66D9-66D9	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	38988,38992,38990,38989	Zasp66,CG13305,Cpr66D,Cdc6
fly chr102C1-102C1	fly chr102C1-102C1	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	43794,43792,43793,3772538	Asator,CaMKI,bip2,CG33941
fly chr56A2-56A2	fly chr56A2-56A2	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	37189,12798342,37187,59128	CG18605,snoRNA:abba-a,prod,CG15107
fly chr96A23-96A23	fly chr96A23-96A23	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	42958,42956,42955,42957	Saf-B,lili,CG6980,CG5808
fly chr90F7-90F7	fly chr90F7-90F7	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	42179,42181,14462483,42178	CG14314,CG7183,CG44158,CG7985
fly chr73D1-73D1	fly chr73D1-73D1	0.0559154042145489	-2.88391536943844	5	4	0.000685635927322592	5834	16508	39880,39882,39883,39881	CG13024,CG9669,Zcchc7,TSG101
fly chr85C2-85C2	fly chr85C2-85C2	0.0560545936167147	-2.88142917712698	9	6	0.00102845389098389	5834	16508	12798072,50007,41078,41084,41080,41081	CR31429,CG11985,CG11980,tgo,CG11982,CG11983
fly chr11F1-11F1	fly chr11F1-11F1	0.0560545936167147	-2.88142917712698	9	6	0.00102845389098389	5834	16508	32294,32293,32291,32296,32292,32295	Tim9a,Rbp1-like,dmrt11E,CG1662,CG1640,Yippee
fly chr98B6-98B6	fly chr98B6-98B6	0.0567407724743629	-2.86926223541207	20	11	0.00188549880013713	5834	16508	43350,43351,43353,43349,43354,43357,43345,43358,43348,43355,43352	mino,NSD,mfrn,RpL4,Gp93,CG4884,mRpS22,CG4849,BCAS2,CG4951,BOD1
fly chr34A10-34A10	fly chr34A10-34A10	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	34722,3771927,34720,34719,34721	CG16812,snRNA:U2:34ABb,CG5705,CG9426,Ski6
fly chr83A4-83A4	fly chr83A4-83A4	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	40654,40656,40653,19835016,40657	RpL35A,mRpL44,PEK,CG45100,Snr1
fly chr60D5-60D5	fly chr60D5-60D5	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	37924,37925,37922,37923,37927	uri,Fcp1,Nurf-38,CG11414,Start1
fly chr60A14-60A14	fly chr60A14-60A14	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	37817,37815,5740468,37813,37814	CG10904,Alas,CG34213,CG13566,Fmo-1
fly chr10B3-10B3	fly chr10B3-10B3	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	32070,32076,32073,32072,32075	CG1657,CG11752,GCS1,CG34348,CG1738
fly chr65A7-65A7	fly chr65A7-65A7	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	38717,38715,38718,38714,38713	D19B,CG7376,D19A,CG10289,CG13296
fly chr98E5-98E5	fly chr98E5-98E5	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	43402,50092,43398,43399,43401	WASp,CheB98a,wdn,CG1646,CG1647
fly chr65F5-65F5	fly chr65F5-65F5	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	38810,38811,38813,38812,38814	CG43780,lark,CG8596,eco,CG14834
fly chr37B8-37B8	fly chr37B8-37B8	0.0578672744268227	-2.84960326271148	7	5	0.00085704490915324	5834	16508	35158,35156,35157,35162,35159	Swip-1,CG10639,CG10431,CG10650,CG15168
fly chr64A12-64A12	fly chr64A12-64A12	0.0792982178150781	-2.53453962455254	14	8	0.00137127185464518	5834	16508	38518,38527,38526,38523,38520,38517,326206,38529	CG15011,TfIIEbeta,CG1316,CG1311,CG11586,CG1265,CG11583,CG15012
fly chr47C1-47C1	fly chr47C1-47C1	0.0886446009902399	-2.42312015085192	12	7	0.00119986287281454	5834	16508	36134,36142,36135,36144,36139,36133,36138	CG12935,RpS15Ab,CG7637,CG12325,dgo,wde,CG7222
fly chr26B4-26B4	fly chr26B4-26B4	0.0886446009902399	-2.42312015085192	12	7	0.00119986287281454	5834	16508	33859,33854,33858,33853,33857,12798573,14462710	Kr-h2,Fbw5,CG9154,CG13994,Pfdn1,CR9162,CR43801
fly chr33C4-33C4	fly chr33C4-33C4	0.0989446135526892	-2.31319504446691	10	6	0.00102845389098389	5834	16508	34633,34631,34636,45784,34638,34630	Ced-12,CG6712,Rab6,ThrRS,Phae2,Pex19
fly chr82F6-82F6	fly chr82F6-82F6	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	53566,40626,40623,40627,40624	Kat60,Mms19,CG2604,rtp,Vps37B
fly chr57B3-57B3	fly chr57B3-57B3	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	19835537,37359,37357,37356,37355	CR44667,CG15227,CG17999,sktl,insc
fly chr49E1-49E1	fly chr49E1-49E1	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	36427,246646,46020,36425,19835212	Sans,CG30487,NAT1,CG17019,CR44461
fly chr82A5-82A5	fly chr82A5-82A5	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	40553,40556,40555,40557,19835920	Cont,CG9855,CG14646,CG9853,CR44922
fly chr85A9-85A9	fly chr85A9-85A9	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	41038,41042,41043,41040,41041	nom,M1BP,CG8202,CG8159,ranshi
fly chr78D4-78D4	fly chr78D4-78D4	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	40384,40383,40378,40377,40381	SAK,M6,Hr78,CG7519,Est-Q
fly chr3D4-3D4	fly chr3D4-3D4	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	31315,31321,31317,31316,31319	CG16781,Gas8,CG10804,CG12206,CG14270
fly chr94E9-94E9	fly chr94E9-94E9	0.110010289386765	-2.20718137768462	8	5	0.00085704490915324	5834	16508	42752,42750,42755,42749,42751	orb,wda,CG17083,EloA,CG13827
fly chr39A7-39A7	fly chr39A7-39A7	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	19835074,13084069,35386,44149	CR44910,CG43346,CG9246,Acon
fly chr78E1-78E1	fly chr78E1-78E1	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	40403,40404,40399,40402	MED1,ORMDL,S1P,CG11306
fly chr87B11-87B11	fly chr87B11-87B11	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	41540,41538,41541,41537	trus,CG18549,CG5961,CG5538
fly chr57A9-57A9	fly chr57A9-57A9	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	37344,37342,37339,37343	Fem-1,Lrt,DMAP1,CG13437
fly chr60B5-60B5	fly chr60B5-60B5	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	37841,37838,37840,37842	tsr,MAN1,IntS1,gammaSnap1
fly chr98F12-98F12	fly chr98F12-98F12	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	43445,43444,43446,43443	CG14511,CG14516,CG11882,CG14512
fly chr37E1-37E1	fly chr37E1-37E1	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	35221,35225,35222,35220	Rab9,Top2,CG10237,RtcB
fly chr55C9-55C9	fly chr55C9-55C9	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	246467,37121,37118,37125	CG30120,slim,CG12263,CG17669
fly chr13E12-13E12	fly chr13E12-13E12	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	32516,32511,32514,32513	CG8206,CG8191,Arp6,MagR
fly chr26B2-26B2	fly chr26B2-26B2	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	33835,33838,33837,14462709	eIF-4a,Tsp26A,lid,CR43866
fly chr42B2-42B2	fly chr42B2-42B2	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	3772720,35559,35556,44307	CG33919,Trap1,CG15233,Vha16-1
fly chr83B2-83B2	fly chr83B2-83B2	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	40673,40675,40671,117332	CG2931,CRMP,CG14671,Rheb
fly chr50E6-50E6	fly chr50E6-50E6	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	36585,36583,36587,36584	beta4GalNAcTA,Hsc70-5,SelD,CG8531
fly chr23D4-23D4	fly chr23D4-23D4	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	318888,33532,33534,33530	CG31698,Hydr2,CG34393,gkt
fly chr84E5-84E5	fly chr84E5-84E5	0.121117352094483	-2.11099535136749	6	4	0.000685635927322592	5834	16508	40934,40935,12798055,40936	Taf7,Prat,scaRNA:MeU2-C41,CG2846
